tip,host,region,lineage,resistant
ISO01,Human,North,L1,Yes
ISO02,Bird,South,L1,No
ISO03,Environment,East,L1,Yes
ISO04,Human,West,L1,No
ISO05,Bird,North,L1,Yes
ISO06,Environment,South,L1,Yes
ISO07,Human,East,L1,No
ISO08,Bird,West,L2,Yes
ISO09,Environment,North,L2,No
ISO10,Human,South,L2,Yes
ISO11,Bird,East,L2,No
ISO12,Environment,West,L2,Yes
ISO13,Human,North,L2,Yes
ISO14,Bird,South,L2,No
ISO15,Environment,East,L3,No
ISO16,Human,West,L3,No
ISO17,Bird,North,L3,Yes
ISO18,Environment,South,L3,Yes
ISO19,Human,East,L3,Yes
ISO20,Bird,West,L3,No
